time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
1.1500000000000001,19.96893921171635,4.996159329230712,4.996159329231226,-0.19773569536549812,-0.037371002941282185,-0.03737100293738039,-0.3822655859749592,-0.20026680109203043,-0.20026680109523964
1.16,19.968526534107852,4.99607676775042,4.9960767677509414,-0.19867113929050406,-0.03775620405725503,-0.037756204053359395,-0.39035458275766655,-0.1997195141174591,-0.19971951412065908
1.17,19.968113856499354,4.995994206270128,4.995994206270657,-0.19960658321551,-0.03814140517322788,-0.03814140516933841,-0.398443579540374,-0.19917222714288776,-0.19917222714607852
1.18,19.967701178890856,4.995911644789836,4.995911644790373,-0.20054202714051597,-0.03852660628920073,-0.03852660628531742,-0.4065325763230816,-0.19862494016831644,-0.19862494017149795
1.19,19.967288501282358,4.995829083309544,4.995829083310088,-0.2014774710655219,-0.03891180740517358,-0.03891180740129643,-0.4146215731057891,-0.1980776531937451,-0.19807765319691742
1.2,19.96687582367386,4.995746521829252,4.995746521829805,-0.20241291499052788,-0.03929700852114643,-0.039297008517275446,-0.42271056988849665,-0.19753036621917378,-0.19753036622233686
1.21,19.96646314606536,4.995663960348961,4.99566396034952,-0.20334835891553382,-0.039682209637119284,-0.03968220963325446,-0.43079956667120417,-0.19698307924460243,-0.1969830792477563
1.22,19.966050468456864,4.995581398868668,4.995581398869236,-0.20428380284053976,-0.040067410753092135,-0.04006741074923348,-0.4388885634539117,-0.1964357922700311,-0.19643579227317573
1.23,19.965637790848366,4.995498837388377,4.9954988373889515,-0.20521924676554573,-0.040452611869064986,-0.04045261186521249,-0.4469775602366193,-0.19588850529545976,-0.19588850529859517
1.24,19.965225113239867,4.9954162759080845,4.995416275908667,-0.20615469069055167,-0.04083781298503784,-0.040837812981191504,-0.45506655701932675,-0.19534121832088844,-0.1953412183240146
1.25,19.96481243563137,4.995333714427793,4.995333714428383,-0.20709013461555761,-0.04122301410101069,-0.04122301409717052,-0.4631555538020343,-0.19479393134631712,-0.19479393134943404
1.26,19.96439975802287,4.9952511529475006,4.995251152948098,-0.20802557854056358,-0.041608215216983546,-0.04160821521314953,-0.4712445505847418,-0.19424664437174577,-0.19424664437485348
1.27,19.963987080414373,4.995168591467209,4.995168591467814,-0.20896102246556952,-0.04199341633295639,-0.04199341632912855,-0.4793335473674494,-0.19369935739717445,-0.19369935740027291
1.28,19.963574402805875,4.995086029986917,4.99508602998753,-0.20989646639057546,-0.04237861744892925,-0.042378617445107555,-0.4874225441501569,-0.1931520704226031,-0.19315207042569238
1.29,19.963161725197377,4.995003468506625,4.995003468507246,-0.21083191031558143,-0.04276381856490209,-0.042763818561086575,-0.4955115409328644,-0.19260478344803178,-0.19260478345111182
1.3,19.96274904758888,4.994920907026333,4.994920907026962,-0.21176735424058737,-0.04314901968087495,-0.04314901967706559,-0.5036005377155719,-0.19205749647346043,-0.19205749647653125
1.31,19.96233636998038,4.994838345546041,4.994838345546677,-0.21270279816559334,-0.0435342207968478,-0.0435342207930446,-0.5116895344982795,-0.1915102094988891,-0.1915102095019507
